Time,Sequence Number,Event
8.52,478000,ack
8.52,507000,send
8.528,505000,transmit
8.528,479000,ack
8.528,508000,send
8.536,506000,transmit
8.536,480000,ack
8.536,509000,send
8.544,507000,transmit
8.544,481000,ack
8.544,510000,send
8.552,508000,transmit
8.552,482000,ack
8.552,511000,send
8.56,509000,transmit
8.56,483000,ack
8.56,512000,send
8.568,510000,transmit
8.568,484000,ack
8.568,513000,send
8.576,511000,transmit
8.576,485000,ack
8.576,514000,send
8.584,512000,transmit
8.584,486000,ack
8.592,513000,transmit
8.592,487000,ack
8.6,514000,transmit
8.6,488000,ack
8.608,489000,ack
8.616,490000,ack
8.624,491000,ack
8.632,492000,ack
8.64,493000,ack
8.648,494000,ack
8.656,495000,ack
8.664,496000,ack
8.672,497000,ack
8.68,498000,ack
8.688,499000,ack
8.696,500000,ack
8.704,501000,ack
8.712,502000,ack
8.72,503000,ack
8.728,504000,ack
8.736,505000,ack
8.744,506000,ack
8.752,507000,ack
8.76,508000,ack
8.768,509000,ack
8.776,510000,ack
8.784,511000,ack
8.792,512000,ack
8.8,513000,ack
8.80416,513520,ack
